key,value
about_content,"lufus ist ein in Python geschriebener USB-Image-Writer für Linux.
Inspiriert vom originalen lufus-Tool für Windows.
GitHub: github.com/hogjects/lufus"
about_subtitle,USB-Flash-Tool
btn_close,Schließen
btn_ok,OK
combo_boot_default,installation_media.iso
tooltip_website,Webseite
settings_label_theme,Design
input_hash_placeholder,Erwarteten SHA256-Hash hier eingeben...
combo_badblocks_2pass,2 Durchgänge
combo_badblocks_3pass,3 Durchgänge
status_unmounting_all,Alle Partitionen auf {device} werden ausgehängt...
status_unmounting,{part} wird ausgehängt...
status_remounting,Wird wieder eingehängt {part}...
status_format_starting,Formatierungsvorgang wird gestartet...
status_format_in_progress,Laufwerk wird formatiert...
status_format_complete,Formatierung abgeschlossen!
status_format_failed,Formatierung FEHLGESCHLAGEN. Prüfen Sie das obige Protokoll für den genauen Fehler.
status_flash_error,Schreibfehler: {error}
acc_device,Geräteauswahl
acc_device_desc,Wählen Sie das USB-Gerät
acc_refresh,Geräte aktualisieren
acc_refresh_desc,Nach verbundenen USB-Geräten suchen
acc_boot,Auswahl des Start-Images
acc_boot_desc,Zeigt die aktuell ausgewählte Image-Datei
acc_select,Nach Image-Datei suchen
acc_image_option,Auswahl der Image-Option
acc_image_option_desc,Wählen Sie den Typ des zu schreibenden Images: Windows
acc_volume_label,Eingabe der Volumenbezeichnung
acc_volume_label_desc,Geben Sie einen Namen für das USB-Volumen ein
acc_filesystem,Auswahl des Dateisystems
acc_cluster,Auswahl der Clustergröße
acc_flash_option,Auswahl der Schreibmethode
acc_quick_format,Checkbox für Schnellformatierung
acc_extended_label,Checkbox für erweiterte Bezeichnung
acc_bad_blocks,Checkbox zur Prüfung auf defekte Blöcke
acc_bad_blocks_passes,Auswahl der Durchgänge für die Defektblockprüfung
acc_verify_hash,Checkbox zur Verifizierung der SHA256-Prüfsumme
acc_hash_input,Eingabe des erwarteten SHA256-Hashes
acc_hash_input_desc,Fügen Sie hier den erwarteten 64-stelligen SHA256-Hash ein
acc_progress,Fortschrittsanzeige der Operation
acc_start,Operation starten
acc_cancel,Operation abbrechen
acc_website,Lufus-Website öffnen
acc_about,Über Lufus
acc_settings,Einstellungen öffnen
acc_log,Protokollfenster öffnen
